,0.3,0.5,0.7
0.001,0.32697999513070014,0.34201820741474986,0.2777431708011241
0.0022531645569620253,0.34115748301927523,0.3430496125210032,0.26993518135886374
0.0035063291139240506,0.348123613686518,0.34530220227558744,0.26642264364880724
0.004759493670886076,0.353370977021649,0.3476396973724873,0.26449126557854785
0.006012658227848101,0.35596399223355313,0.34884660025292347,0.26390037456173826
0.0072658227848101265,0.3568802304557482,0.34849022039114436,0.26355467239025904
0.008518987341772151,0.35587983395761424,0.34958235725557374,0.2624430047889428
0.009772151898734177,0.355752394368637,0.3498610876176198,0.2614461922263197
0.011025316455696203,0.35668293770687864,0.35014934130608316,0.26091185674203526
0.01227848101265823,0.35745116384399045,0.350466304364728,0.25967754291199013
0.013531645569620252,0.35817890424978044,0.34880557741374024,0.25911764105982504
0.014784810126582278,0.3588859505192498,0.34834250464742694,0.2586068439940475
0.016037974683544304,0.35951352135507864,0.3485243037328536,0.2578242643368707
0.01729113924050633,0.3598722449092871,0.3486139104708942,0.25867328862514805
0.018544303797468353,0.35929768640872184,0.34774220215357554,0.25824489538466605
0.01979746835443038,0.35892598585408414,0.3473746170393095,0.25734449340901655
0.021050632911392406,0.3587656652189502,0.34732563623506046,0.2572806228085219
0.022303797468354432,0.35906410995277016,0.34718148311863206,0.2566759791696201
0.023556962025316458,0.3597206541498382,0.34730148674155353,0.25716072774997906
0.02481012658227848,0.3594357812981829,0.347554737361662,0.25773202593720196
0.026063291139240507,0.3591688200065458,0.34748703490492117,0.2584273374203259
0.027316455696202533,0.3593135008862434,0.3475021249428858,0.25884046259610677
0.028569620253164556,0.359586370343082,0.3478574299897734,0.25860297624586925
0.029822784810126582,0.3594038612893001,0.34860361784153693,0.2586375099394331
0.031075949367088608,0.3595413194319298,0.3478137848516726,0.25844197382716816
0.032329113924050634,0.35909416372801806,0.3479249270105808,0.2582898304009357
0.03358227848101266,0.36001061713306565,0.3477721623202327,0.2583151860276701
0.03483544303797469,0.36021107941795905,0.3482066016071462,0.2583918253201531
0.036088607594936706,0.3603426819694433,0.34826154634932943,0.25842077376187295
0.03734177215189873,0.36069493438541866,0.3483951071047688,0.25869739027411875
0.03859493670886076,0.36051324362008863,0.348604883235818,0.2587268297552842
0.039848101265822784,0.36034920124976805,0.34851859617525294,0.25841907697253386
0.04110126582278481,0.36050717017251005,0.3488761191490569,0.2585180227175646
0.04235443037974684,0.36037341063628797,0.34918279504432775,0.2585206744282827
0.04360759493670886,0.36057805055021197,0.34920403958598584,0.25824118353048975
0.04486075949367089,0.3604402656130152,0.3496235925111791,0.2581917675449015
0.046113924050632915,0.3601437740873529,0.35005761308284533,0.2586039743545377
0.047367088607594934,0.36009489174192455,0.35059902065189685,0.2583462678540123
0.04862025316455696,0.36027568977202973,0.35062884425133717,0.2584347005227951
0.04987341772151899,0.36019895949644687,0.35091533910883826,0.258503942291805
0.05112658227848101,0.36033188362196905,0.35085747443973825,0.2586544488082536
0.05237974683544304,0.36048236315577975,0.35061636773817617,0.2586490413783574
0.053632911392405065,0.3605792065050079,0.3510819629323961,0.2583454512405928
0.05488607594936709,0.361036176561924,0.3511610284302686,0.258549110544487
0.05613924050632911,0.3609892610214415,0.35096482618581026,0.2585756826671668
0.05739240506329114,0.3613587085050292,0.35126465352616404,0.2580975506004362
0.05864556962025316,0.3610815191539629,0.3513360805836307,0.25849223259169507
0.05989873417721519,0.36098483542595605,0.35105933656132804,0.2586405580049036
0.061151898734177215,0.36094315625989937,0.3510800231247071,0.25843801427664015
0.06240506329113924,0.3609529258562695,0.35130803120443055,0.25875354978784
0.06365822784810127,0.3610469093165533,0.3513271021910947,0.25880889957527164
0.06491139240506329,0.3611646127426955,0.35156203249087775,0.25919121051638505
0.06616455696202532,0.361190307825248,0.3514299672851637,0.25960685879994927
0.06741772151898734,0.3610025639474373,0.3514659349349423,0.2596305880138476
0.06867088607594937,0.3612559870712755,0.3514906544663926,0.2597694108379698
0.06992405063291139,0.36110260828346413,0.3514938096211206,0.26002664080881377
0.07117721518987341,0.3607018626429547,0.3514744258598761,0.2603735890553069
0.07243037974683544,0.3605356575792341,0.35142525310603495,0.26068793089456366
0.07368354430379746,0.3607302177149062,0.35128933933103207,0.2609097191355819
0.0749367088607595,0.36095727478907036,0.35108000809837103,0.2612100503532825
0.07618987341772152,0.3609336793767123,0.35099283649019736,0.26144099671709586
0.07744303797468355,0.3608941074046463,0.3509824618948768,0.2616737189395782
0.07869620253164557,0.36135399560933373,0.35103441590786233,0.26196470199652905
0.0799493670886076,0.36137598835419404,0.35102426260652186,0.2630523799486464
0.08120253164556962,0.36142912918454495,0.35115249052812325,0.2632979773254587
0.08245569620253164,0.3616734007182246,0.35093869700692787,0.26346224295321724
0.08370886075949367,0.36164896856215,0.35075107167588077,0.26346480378225073
0.08496202531645569,0.3620243487537598,0.3507802981970447,0.2635516852544918
0.08621518987341772,0.36232088194255707,0.35098283721426593,0.26358083156644174
0.08746835443037974,0.36230391615571444,0.35115188698096805,0.26313769814373367
0.08872151898734178,0.36196773453837855,0.351226395652923,0.26323948405628045
0.0899746835443038,0.362207680189939,0.35122951822595694,0.2636934028133455
0.09122784810126583,0.36215334327737503,0.3515994603196903,0.2640413067925147
0.09248101265822785,0.36213407855559127,0.3515764187651507,0.2642245076738716
0.09373417721518987,0.3619948303341294,0.3515730098583007,0.2644639301086967
0.0949873417721519,0.36210200083024585,0.3518592084308438,0.26450833071729
0.09624050632911392,0.36213968398424573,0.3519556522316456,0.264593358942041
0.09749367088607595,0.3621627148823067,0.35202915795949924,0.2646476543575442
0.09874683544303797,0.3621609670217985,0.3520255815150015,0.2647672275200753
0.1,0.3624553744691755,0.35215628534216575,0.26504883461151846
